symbol,mcap_cr
BMBMUMG,2.82
BMW,976.73
BMWVENTLTD,508.18
BNAGROCHEM,2753.66
BNALTD,116.68
BNRSEC,65.77
BNRUDY,10.43
BODALCHEM,738.21
BODHTREE,43.44
BOHRAIND,37.71
BOMBCYC,67.64
BOMBPOT,32.57
BOMBWIR,25.37
BOMDYEING,2442.27
BOMOXY-B1,301.99
BOMTALKIES,23.5
BONDADA,3610.07
BONLON,64.89
BORANA,916.31
BOROLTD,2911.59
BORORENEW,6942.17
BOROSCI,1077.31
BOSCH-HCIL,3692.02
BOSCHLTD,106278.23
BOSTON,4.96
BPAGRI,2162.89
BPCAP,5.7
BPCL,141518.11
BPL,268.45
BPLPHARMA,805.98
BRADYM,186.74
BRAHMINFRA,435.2
BRANDBUCKT,11.39
BRAWN,6.19
BRFL,57.78
BRGIL,266.0
BRIDGESE,53.37
BRIGADE,17873.6
BRIGHOTEL,2373.03
BRIGHT,861.94
BRIGHTBR,133.16
BRIJLEAS,7.41
BRIPORT,2.74
BRISK,15.5
BRITANNIA,136329.2
BRNL,167.88
BROACH,9.53
BROOKS,187.69
BRPL,154.57
BRRL,858.09
BSE,134291.28
BSELALGO,42.09
BSHSL,984.49
BSL,132.5
BSOFT,10342.69
BTML,125.3
BTTL,205.99
BUILDPRO,2391.88
BURNPUR,57.36
BUTTERFLY,1123.43
BVCL,93.96
BVL,3.32
BWLLTD,17.82
BYKE,215.09
BYLD,25.73
CALCOM,121.97
CALLISTA,50.99
CALSOFT,48.37
CALSREF,82.94
CAMEXLTD,34.52
CAMLINFINE,2556.57
CAMPUS,7556.52
CAMS,18104.55
CAMSONBIO,9.93
CANBK,127341.1
CANDC,6.01
CANDOUR,256.53
CANFINHOME,11584.87
CANHLIFE,13637.42
CANTABIL,2110.44
CAPACITE,1982.14
CAPFIN,43.88
CAPILLARY,4342.18
CAPITALSFB,1197.94
CAPLIPOINT,14141.7
CAPPIPES,159.31
CAPRICORN,28.28
CAPRIHANS,112.23
CAPRO,26.07
CAPTRUST,45.27
CARBORUNIV,17340.36
CARERATING,4861.57
CARGOSOL,22.42
CARGOTRANS,74.65
CARNATIN,28.46
CARRARO,3008.55
CARTRADE,9931.78
CARYSIL,2642.15
CASPIAN,53.98
CASTORA,6.45
CASTROLIND,18234.25
CATVISION,10.38
CBPL,28.86
CCAL,32.46
CCAVENUE,5229.46
CCCL,722.14
CCDL,21.08
CCHHL,217.71
CCL,14104.04
